block,week,odds,target,pnl,sport
4,202607,1.44,1,0.43999999999999995,Tennis
4,202607,1.42,1,0.41999999999999993,FIFA
4,202607,4.131,1,3.1310000000000002,Soccer
4,202607,1.57,0,-1.0,Soccer
4,202607,2.1,0,-1.0,Soccer
4,202607,2.08,1,1.08,Soccer
4,202607,2.08,1,1.08,Soccer
4,202607,2.55,1,1.5499999999999998,Soccer
4,202607,2.08,1,1.08,Soccer
4,202607,2.08,1,1.08,Soccer
4,202607,1.85,1,0.8500000000000001,Soccer
4,202607,1.7,1,0.7,Tennis
4,202607,70.7023,0,-1.0,Soccer
4,202607,66.2436,0,-1.0,Soccer
4,202607,90.9562,0,-1.0,Soccer
4,202607,84.8716,0,-1.0,Soccer
4,202607,93.2484,0,-1.0,Soccer
4,202607,2.7,0,-1.0,Valorant
4,202607,2.05,0,-1.0,Soccer
4,202607,1.35,1,0.3500000000000001,Tennis
4,202607,2.0,1,1.0,Soccer
4,202607,2.0,1,1.0,Soccer
4,202607,3.0272,0,-1.0,Soccer
4,202607,22.4927,0,-1.0,Basketball
4,202607,28.3996,0,-1.0,Soccer
4,202607,1.7,1,0.7,Soccer
4,202607,1.95,1,0.95,Soccer
4,202607,2.1,1,1.1,Soccer
4,202607,20.9062,0,-1.0,Soccer
4,202607,1.5,1,0.5,Soccer
4,202607,1.36,1,0.3600000000000001,Tennis
4,202607,1.35,1,0.3500000000000001,Tennis
4,202607,1.57,0,-1.0,Soccer
4,202607,5.9577,0,-1.0,Tennis
4,202607,1.8,0,-1.0,Soccer
4,202607,1.65,0,-1.0,CS2
4,202607,1.57,0,-1.0,MMA
4,202607,1.58,0,-1.0,Soccer
4,202607,2.1,0,-1.0,Soccer
4,202607,26.6255,0,-1.0,Soccer
4,202607,1.95,0,-1.0,Soccer
4,202607,3.5875,0,-1.0,Soccer
4,202607,1.8,0,-1.0,Soccer
4,202607,1.55,0,-1.0,Tennis
4,202607,1.4,0,-1.0,Tennis
4,202607,6.6411,0,-1.0,Basketball
4,202607,29.1409,0,-1.0,Soccer
4,202607,38.9738,0,-1.0,Soccer
4,202607,1.65,1,0.6499999999999999,Tennis
4,202607,1.8,1,0.8,Soccer
4,202607,30.3141,0,-1.0,Soccer
4,202607,38.5348,0,-1.0,Soccer
4,202607,462.5769,0,-1.0,Soccer
4,202607,38.3094,0,-1.0,Soccer
4,202607,26.3452,0,-1.0,Soccer
4,202607,20.7249,0,-1.0,Soccer
